Year,F,F_MFMT,SSB,SSB_SSB_SPR26,SSB_MSST_old,SSB_MSST_new,SSB_SSB0
1872,0,0.006,3.18E+15,2.59,2.84,5.17,0.67
1873,0.001,0.009,3.18E+15,2.58,2.84,5.17,0.67
1874,0.001,0.013,3.17E+15,2.58,2.83,5.16,0.67
1875,0.001,0.016,3.16E+15,2.57,2.83,5.15,0.67
1876,0.001,0.019,3.15E+15,2.56,2.82,5.13,0.67
1877,0.001,0.017,3.14E+15,2.55,2.81,5.11,0.67
1878,0.001,0.015,3.13E+15,2.55,2.8,5.09,0.66
1879,0.001,0.017,3.12E+15,2.54,2.79,5.07,0.66
1880,0.002,0.038,3.11E+15,2.53,2.78,5.06,0.66
1881,0.002,0.039,3.09E+15,2.51,2.76,5.03,0.66
1882,0.002,0.04,3.07E+15,2.5,2.75,5,0.65
1883,0.002,0.042,3.05E+15,2.48,2.73,4.96,0.65
1884,0.003,0.043,3.03E+15,2.46,2.71,4.92,0.64
1885,0.003,0.045,3.00E+15,2.44,2.68,4.89,0.64
1886,0.003,0.046,2.98E+15,2.42,2.66,4.85,0.63
1887,0.003,0.046,2.96E+15,2.4,2.64,4.81,0.63
1888,0.003,0.044,2.93E+15,2.38,2.62,4.77,0.62
1889,0.003,0.048,2.91E+15,2.37,2.6,4.73,0.62
1890,0.003,0.057,2.89E+15,2.35,2.58,4.69,0.61
1891,0.003,0.053,2.86E+15,2.33,2.56,4.65,0.61
1892,0.003,0.057,2.84E+15,2.31,2.54,4.62,0.6
1893,0.003,0.059,2.82E+15,2.29,2.52,4.58,0.6
1894,0.004,0.061,2.79E+15,2.27,2.49,4.54,0.59
1895,0.004,0.06,2.77E+15,2.25,2.47,4.5,0.59
1896,0.004,0.062,2.75E+15,2.23,2.45,4.47,0.58
1897,0.004,0.062,2.73E+15,2.22,2.44,4.43,0.58
1898,0.004,0.072,2.71E+15,2.2,2.42,4.4,0.57
1899,0.005,0.084,2.68E+15,2.18,2.4,4.36,0.57
1900,0.006,0.095,2.66E+15,2.16,2.37,4.32,0.56
1901,0.006,0.104,2.62E+15,2.13,2.34,4.27,0.56
1902,0.007,0.111,2.59E+15,2.11,2.31,4.21,0.55
1903,0.006,0.103,2.55E+15,2.07,2.28,4.15,0.54
1904,0.006,0.098,2.52E+15,2.05,2.25,4.09,0.53
1905,0.005,0.09,2.49E+15,2.02,2.22,4.04,0.53
1906,0.005,0.082,2.46E+15,2,2.2,4,0.52
1907,0.004,0.074,2.44E+15,1.98,2.18,3.96,0.52
